Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   379293    0.036    0.000    0.036    0.000 {method 'append' of 'list' objects}
   332220    0.050    0.000    0.050    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:17(<lambda>)
   146435    0.017    0.000    0.017    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:21(getDefendingTroops)
   130230   33.002    0.000   33.002    0.000 {method 'blit' of 'pygame.Surface' objects}
   130187    0.044    0.000    0.044    0.000 {method 'get_rect' of 'pygame.Surface' objects}
   128856    0.596    0.000    0.596    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
   128612    1.035    0.000    1.035    0.000 {built-in method pygame.transform.scale}
   128611    0.016    0.000    0.016    0.000 {method 'get_width' of 'pygame.Surface' objects}
   128611    0.014    0.000    0.014    0.000 {method 'get_height' of 'pygame.Surface' objects}
   128604    0.257    0.000   16.384    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GraphicalMap.py:11(scaleAndBlit)
    68445    0.389    0.000    0.420    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:53(getHostileTerritoryNeighbours)
    66327    0.043    0.000    0.043    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:365(sprites)
    66325    0.067    0.000    0.483    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:66(set_bst)
    66325    0.034    0.000    0.042    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:72(set_bsr)
    65902    0.017    0.000    0.017    0.000 {method 'index' of 'list' objects}
    64344    0.171    0.000    6.015    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Piece.py:38(updateDefaults)
    64344    5.833    0.000    5.833    0.000 {built-in method pygame.mask.from_surface}
    64334    0.470    0.000    0.470    0.000 {method 'copy' of 'pygame.Surface' objects}
    64302    0.108    0.000    6.168    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Piece.py:33(updatePiece)
    64302    0.145    0.000    0.145    0.000 {method 'render' of 'pygame.font.Font' objects}
    43848    0.005    0.000    0.005    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:157(<lambda>)
    25784    0.004    0.000    0.004    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:13(<lambda>)
25228/24525    0.004    0.000    0.005    0.000 {built-in method builtins.len}
    18372    0.007    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:108(alive)
    18372    0.003    0.000    0.003    0.000 {built-in method _operator.truth}
    18194    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
    11138    0.005    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
    10130    0.004    0.000    0.008    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:254(get)
     9721    0.003    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:121(_get_visible)
     9721    0.006    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:133(visible)
     9248    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:193(rect)
     7910    0.063    0.000    0.113    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:16(getAllTerritoriesOfColors)
     7869    0.001    0.000    0.001    0.000 {built-in method _operator.index}
     7861    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     7655    0.009    0.000    0.023    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:671(update)
     7366    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     7308    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:51(<lambda>)
     7194    0.014    0.000    0.041    0.000 {built-in method builtins.sorted}
     6234    0.003    0.000    0.003    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
     6124    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:320(get_mouse_position)
     5857    0.052    0.000    0.649    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:33(set_bsrs_bsts)
     5722    0.002    0.000    0.002    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:35(<lambda>)
     5415    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5333    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     5204    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5202    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sysfont.py:51(<genexpr>)
     4827    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     4624    0.001    0.000    0.001    0.000 {method 'copy' of 'pygame.Rect' objects}
     4613    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:920(get_image_clipping_rect)
     4606    0.003    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:67(get_rect)
     4601    0.015    0.000    0.025    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:769(hover_point)
     4593    0.008    0.000    0.036    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_container.py:253(check_hover)
     4533    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     4383    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:97(<lambda>)
     4094    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     4085    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
     4044    0.007    0.000    0.009    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
     3990    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3882    0.008    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:1001(get_sprites_from_layer)
     3780    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:104(<lambda>)
     3591    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     3080    0.002    0.000    0.003    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
     3070    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:18(getNonDefendingTroops)
     3062    0.014    0.000    0.021    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:702(check_hover)
     3062    0.002    0.000    0.002    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:50(update)
     3062    0.006    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:297(update)
     3062    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:426(has_fresh_surface)
     3018    0.002    0.000    0.009    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:75(<genexpr>)
     2623    0.003    0.000    0.004    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:239(_randbelow_with_getrandbits)
     2623    0.005    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:292(randrange)
     2623    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     2602    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:71(<lambda>)
     2581    0.002    0.000    0.011    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:366(randint)
     2437    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:158(<genexpr>)
     2318    0.009    0.000    0.262    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:11(set_border_countries)
     2231    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
