Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   130230   33.002    0.000   33.002    0.000 {method 'blit' of 'pygame.Surface' objects}
    64344    5.833    0.000    5.833    0.000 {built-in method pygame.mask.from_surface}
   128612    1.035    0.000    1.035    0.000 {built-in method pygame.transform.scale}
     1531    0.798    0.001    0.798    0.001 {built-in method pygame.display.flip}
   128856    0.596    0.000    0.596    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
    64334    0.470    0.000    0.470    0.000 {method 'copy' of 'pygame.Surface' objects}
     1531    0.450    0.000    0.450    0.000 {method 'blits' of 'pygame.Surface' objects}
     1851    0.415    0.000    0.415    0.000 {built-in method builtins.print}
     1531    0.395    0.000   43.430    0.028 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:297(onRender)
    68445    0.389    0.000    0.420    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:53(getHostileTerritoryNeighbours)
   128604    0.257    0.000   16.384    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GraphicalMap.py:11(scaleAndBlit)
    64344    0.171    0.000    6.015    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Piece.py:38(updateDefaults)
     1531    0.168    0.000    0.168    0.000 {built-in method pygame.event.get}
    64302    0.145    0.000    0.145    0.000 {method 'render' of 'pygame.font.Font' objects}
      253    0.122    0.000    0.122    0.000 {built-in method pygame.image.load}
    64302    0.108    0.000    6.168    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Piece.py:33(updatePiece)
    66325    0.067    0.000    0.483    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:66(set_bst)
     7910    0.063    0.000    0.113    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:16(getAllTerritoriesOfColors)
        1    0.055    0.055    0.055    0.055 {built-in method pygame.base.quit}
     5857    0.052    0.000    0.649    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\IA.py:33(set_bsrs_bsts)
   332220    0.050    0.000    0.050    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:17(<lambda>)
   130187    0.044    0.000    0.044    0.000 {method 'get_rect' of 'pygame.Surface' objects}
